CMDLINE C:\Users\Aeder\AppData\Local\Programs\Python\Python310\python.exe Run_test.py
MEM 154.167969 1654977195.9171
MEM 154.664062 1654977196.0281
MEM 154.664062 1654977196.1391
MEM 154.664062 1654977196.2501
MEM 155.277344 1654977196.3601
MEM 156.890625 1654977196.4711
MEM 156.929688 1654977196.5831
MEM 156.929688 1654977196.6941
MEM 156.933594 1654977196.8051
MEM 156.933594 1654977196.9161
MEM 156.933594 1654977197.0261
MEM 156.933594 1654977197.1371
MEM 156.933594 1654977197.2491
MEM 156.933594 1654977197.3601
MEM 156.933594 1654977197.4691
MEM 156.933594 1654977197.5811
MEM 156.933594 1654977197.6931
MEM 156.933594 1654977197.8031
MEM 156.933594 1654977197.9151
MEM 158.496094 1654977198.0251
MEM 158.523438 1654977198.1371
MEM 159.578125 1654977198.2481
MEM 159.578125 1654977198.3661
MEM 148.179688 1654977198.4691
MEM 149.839844 1654977198.5801
MEM 149.839844 1654977198.6911
MEM 149.839844 1654977198.8031
MEM 149.839844 1654977198.9131
MEM 149.839844 1654977199.0241
MEM 149.839844 1654977199.1351
MEM 150.078125 1654977199.2471
MEM 150.933594 1654977199.3581
MEM 150.933594 1654977199.4671
MEM 150.933594 1654977199.5781
MEM 150.933594 1654977199.6881
MEM 150.933594 1654977199.7991
MEM 150.968750 1654977199.9111
MEM 151.058594 1654977200.0221
MEM 152.710938 1654977200.1331
MEM 152.710938 1654977200.2441
MEM 152.710938 1654977200.3551
MEM 152.710938 1654977200.4671
MEM 152.710938 1654977200.5781
MEM 153.242188 1654977200.6881
MEM 147.691406 1654977200.7991
MEM 149.199219 1654977200.9091
MEM 149.199219 1654977201.0211
MEM 149.199219 1654977201.1321
MEM 149.199219 1654977201.2431
MEM 149.199219 1654977201.3551
MEM 149.757812 1654977201.4651
MEM 149.886719 1654977201.5761
MEM 149.890625 1654977201.6871
MEM 149.890625 1654977201.7981
MEM 149.890625 1654977201.9091
MEM 149.890625 1654977202.0191
MEM 149.917969 1654977202.1297
MEM 149.960938 1654977202.2407
MEM 149.960938 1654977202.3497
MEM 149.960938 1654977202.4617
MEM 150.089844 1654977202.5714
MEM 150.160156 1654977202.6827
MEM 144.660156 1654977202.7927
MEM 144.660156 1654977202.9017
MEM 144.660156 1654977203.0117
MEM 144.820312 1654977203.1237
MEM 145.382812 1654977203.2357
MEM 145.804688 1654977203.3437
MEM 145.804688 1654977203.4537
MEM 146.281250 1654977203.5627
MEM 146.296875 1654977203.6737
MEM 146.324219 1654977203.7867
MEM 146.324219 1654977203.8947
